Number of Catalogue;Title;Author;Date;Medium;Subjects;Collocations;Relationships
0011;Prospetto della facciata della Certosa con proposta per il suo coronamento;Martino Bassi (Seregno, 1542 – Milano, 1591) (attr.);16th century;"Pen and ink and pencil on paper; 596 x 432 mm";Facade of the Charterhouse;;
;;;;;;;
